cobol_program,cobol_section,cobol_paragraph,cobol_line_start,cobol_line_end,gherkin_feature,gherkin_scenario,rule_id,policy_id,policy_section,policy_page_line,effective_date,transmittal_id,test_case_id,normalization_ids,status,notes
ESDRV212,0100-ENTER-DRIVER,0100-ENTER-DRIVER,073800,074500,gherkin_rules/esdrv212.feature,Route CY2009 claims to ESCAL091,DRV-019,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0019,,internal,
ESDRV212,0100-ENTER-DRIVER,0100-ENTER-DRIVER,075300,076000,gherkin_rules/esdrv212.feature,Route CY2008 claims to ESCAL080,DRV-020,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0020,,internal,
ESDRV212,0100-ENTER-DRIVER,0100-ENTER-DRIVER,076800,077500,gherkin_rules/esdrv212.feature,Route CY2007 H2 claims to ESCAL071,DRV-021,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0021,,internal,
ESDRV212,0100-ENTER-DRIVER,0100-ENTER-DRIVER,078300,079000,gherkin_rules/esdrv212.feature,Route CY2007 H1 claims to ESCAL070,DRV-022,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0022,,internal,
ESDRV212,0100-ENTER-DRIVER,0100-ENTER-DRIVER,079800,080500,gherkin_rules/esdrv212.feature,Route CY2006 claims to ESCAL062,DRV-023,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0023,,internal,
ESDRV212,0100-ENTER-DRIVER,0100-ENTER-DRIVER,081300,081800,gherkin_rules/esdrv212.feature,Route CY2005 claims to ESCAL056,DRV-024,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0024,,internal,
ESCAL212,,,076100,076300,gherkin_rules/escal212.feature,Force waive-blend indicator to Y,CAL-001O,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0025,,internal,
ESCAL212,,,077700,079000,gherkin_rules/escal212.feature,AKI claims bypass bundled factor calculations,CAL-001P,CLM104C08-REV12979,"§40 AKI Claims (no ESRD adjusters, no outlier, no TDAPA/TPNIES)",P17:L634-658,2021-01-01,,TC-EX-006,,policy-mapped,
ESCAL212,,,079600,080000,gherkin_rules/escal212.feature,Reject claims with invalid condition codes,CAL-000,CLM104C08-REV10640,§50.3 Condition Code Structure (73/74/84/87),P21:L762-774; P22:L788-791,2021-01-01,,TC-AUTO-0026,,policy-mapped,
ESCAL212,,,080300,080800,gherkin_rules/escal212.feature,Reject claims with invalid provider type,CAL-001A,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0027,,internal,
ESCAL212,,,081100,081400,gherkin_rules/escal212.feature,Reject claims with invalid special payment indicator,CAL-001B,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0028,,internal,
ESCAL212,,,081700,082000,gherkin_rules/escal212.feature,Reject claims with invalid date of birth,CAL-001N,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0029,,internal,
ESCAL212,,,082300,082800,gherkin_rules/escal212.feature,Reject non-AKI claims with invalid weight,CAL-001E,CLM104C08-REV12979,"§40 AKI Claims (no ESRD adjusters, no outlier, no TDAPA/TPNIES)",P17:L634-658,2021-01-01,,TC-AUTO-0030,,policy-mapped,
ESCAL212,,,083100,083600,gherkin_rules/escal212.feature,Reject non-AKI claims with invalid height,CAL-001F,CLM104C08-REV12979,"§40 AKI Claims (no ESRD adjusters, no outlier, no TDAPA/TPNIES)",P17:L634-658,2021-01-01,,TC-AUTO-0031,,policy-mapped,
ESCAL212,,,083900,084500,gherkin_rules/escal212.feature,Reject claims with invalid revenue code,CAL-001C,CLM104C08-REV10640,§50.3 Condition Code Structure (73/74/84/87),P21:L762-774; P22:L788-791,2021-01-01,,TC-AUTO-0032,,policy-mapped,
ESCAL212,,,084800,085200,gherkin_rules/escal212.feature,Reject claims with invalid QIP reduction code,CAL-001D,CLM104C08-REV10640,§20.3 QIP Reduction Codes,P17:L619-624,2021-01-01,,TC-AUTO-0033,,policy-mapped,
ESCAL212,,,085800,086200,gherkin_rules/escal212.feature,Reject non-AKI claims with height over 300,CAL-001G,CLM104C08-REV12979,"§40 AKI Claims (no ESRD adjusters, no outlier, no TDAPA/TPNIES)",P17:L634-658,2021-01-01,,TC-AUTO-0034,,policy-mapped,
ESCAL212,,,086600,087000,gherkin_rules/escal212.feature,Reject non-AKI claims with weight over 500,CAL-001H,CLM104C08-REV12979,"§40 AKI Claims (no ESRD adjusters, no outlier, no TDAPA/TPNIES)",P17:L634-658,2021-01-01,,TC-AUTO-0035,,policy-mapped,
ESCAL212,,,087900,088300,gherkin_rules/escal212.feature,Reject claims with invalid dialysis session count,CAL-001I,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0036,,internal,
ESCAL212,,,088600,089000,gherkin_rules/escal212.feature,Reject claims with invalid line item date of service,CAL-001J,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0037,,internal,
ESCAL212,,,089300,089600,gherkin_rules/escal212.feature,Reject claims with invalid dialysis start date,CAL-001K,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0038,,internal,
ESCAL212,,,089900,090200,gherkin_rules/escal212.feature,Reject claims with invalid outlier total charges,CAL-001L,BP102C11-REV257,§60.D Outlier Payment Calculation,P47:L1885-1893,2021-01-01,,TC-AUTO-0039,,policy-mapped,
ESCAL212,,,091600,092300,gherkin_rules/escal212.feature,Reject non-AKI claims with invalid comorbid return code,CAL-001M,CLM104C08-REV12979,"§40 AKI Claims (no ESRD adjusters, no outlier, no TDAPA/TPNIES)",P17:L634-658,2021-01-01,,TC-AUTO-0040,,policy-mapped,
ESCAL212,,,093700,094500,gherkin_rules/escal212.feature,Compute bundled base wage amount,CAL-002,FR-2020-24485,II.B.4.b.(1) CY 2021 ESRD PPS Wage Indices,P31:L6474-6483,2021-01-01,,TC-EX-005,,policy-mapped,
ESCAL212,,,094900,095500,gherkin_rules/escal212.feature,Compute patient age for factor selection,CAL-008,PUB100-04-CH8-REV10640,§20.2 Pediatric Payment Model (under 18),P17:L637-640,2021-01-01,,TC-EX-007,,policy-mapped,
ESCAL212,,,095900,097700,gherkin_rules/escal212.feature,Map QIP reduction codes to reduction factors,CAL-007,CLM104C08-REV10640,§20.3 QIP Reduction Codes,P17:L619-624,2021-01-01,,TC-EX-010,,policy-mapped,
ESCAL212,,,099400,107200,gherkin_rules/escal212.feature,Normalize comorbid data for consistent evaluation,CAL-010,BP102C11-REV257,§60.A.2 Comorbidity Adjustments (single highest),P39:L1570-1573,2021-01-01,,TC-AUTO-0041,,policy-mapped,
ESCAL212,,,107600,108900,gherkin_rules/escal212.feature,Apply pediatric age adjustment factors,CAL-003A,CLM104C08-REV10640,§20.2 Pediatric Payment Model (under 18),P16:L602-606,2021-01-01,,TC-AUTO-0042,,policy-mapped,
ESCAL212,,,109200,110700,gherkin_rules/escal212.feature,Apply adult age adjustment factors,CAL-003B,BP102C11-REV257,§60.A.1 Adult Age Bands,P36:L1467-1472,2021-01-01,,TC-AUTO-0043,,policy-mapped,
ESCAL212,,,111700,112600,gherkin_rules/escal212.feature,Compute BSA adjustment factor,CAL-004,BP102C11-REV257,§60.A.1 BSA formula,P36:L1443-1445,2021-01-01,,TC-AUTO-0044,,policy-mapped,
ESCAL212,,,112000,112600,gherkin_rules/escal212.feature,Default pediatric BSA factor to 1.000,CAL-004B,BP102C11-REV257,§60.A.1 BSA formula,P36:L1443-1445,2021-01-01,,TC-AUTO-0045,,policy-mapped,
ESCAL212,,,113100,113900,gherkin_rules/escal212.feature,Compute BMI adjustment factor,CAL-005,BP102C11-REV257,§60.A.1 BMI formula (low BMI < 18.5),P38:L1503-1507,2021-01-01,,TC-EX-008,,policy-mapped,
ESCAL212,,,113400,113900,gherkin_rules/escal212.feature,Default BMI factor to 1.000 when low BMI criteria are not met,CAL-005B,BP102C11-REV257,§60.A.1 BMI formula (low BMI < 18.5),P38:L1503-1507,2021-01-01,,TC-AUTO-0046,,policy-mapped,
ESCAL212,,,114400,116700,gherkin_rules/escal212.feature,Apply onset adjustment factor,CAL-009,BP102C11-REV257,§60.A.1 Onset of Dialysis (≤120 days),P38:L1516-1537,2021-01-01,,TC-EX-009,,policy-mapped,
ESCAL212,,,117200,121200,gherkin_rules/escal212.feature,Select bundled comorbid multiplier,CAL-011,BP102C11-REV257,§60.A.2 Comorbidity Adjustments (single highest),P39:L1570-1573,2021-01-01,,TC-EX-012,,policy-mapped,
ESCAL212,,,121700,122900,gherkin_rules/escal212.feature,Apply low volume multiplier for adults,CAL-012,CLM104C08-REV10640,Low-Volume ESRD Facilities Adjustment,P11:L411-419,2021-01-01,,TC-AUTO-0047,,policy-mapped,
ESCAL212,,,123400,123700,gherkin_rules/escal212.feature,Apply rural adjustment multiplier,CAL-013,CMS-ESRDPAYMENT,Facility-Level Adjustments include rural adjustment,HTML:L793-795,2021-01-01,,TC-AUTO-0048,,policy-mapped,
ESCAL212,,,124200,124600,gherkin_rules/escal212.feature,Compute adjusted base wage amount,CAL-014,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0049,,internal,
ESCAL212,,,125100,128200,gherkin_rules/escal212.feature,Apply training add-on or per-diem logic,CAL-015,CLM104C08-REV12979,§50.8 Training Add-On Payment,P32:L1112-1121,2021-01-01,,TC-AUTO-0050,,policy-mapped,
ESCAL212,,,128700,130700,gherkin_rules/escal212.feature,Compute final bundled payment,CAL-016,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0051,,internal,
ESCAL212,,,131200,133300,gherkin_rules/escal212.feature,Apply TDAPA and TPNIES add-ons,CAL-017,CMS-ESRD-OUTLIER,TDAPA/TPNIES not outlier services until period ends,HTML:L969-973,2021-01-01,,TC-AUTO-0052,,policy-mapped,
ESCAL212,,,133400,133700,gherkin_rules/escal212.feature,Select HDPA payment path for ETC claims,CAL-020,CFR-42-512-340,"§512.340 Facility HDPA applicability (072X, CC 74/76)",HTML:L601-606,2021-01-01,,TC-AUTO-0053,,policy-mapped,
ESCAL212,,,134700,135100,gherkin_rules/escal212.feature,Apply network reduction to final amounts,CAL-019,CLM104C08-REV10640,§110 ESRD Network Reduction ($0.50 / $0.21 per diem),P54:L1903-1913,2021-01-01,,TC-EX-013,,policy-mapped,
ESCAL212,,,145200,167900,gherkin_rules/escal212.feature,Calculate outlier payment,CAL-021,BP102C11-REV257,§60.D Outlier Payment Calculation,P47:L1885-1893,2021-01-01,,TC-AUTO-0054,,policy-mapped,
ESCAL212,,,136000,137900,gherkin_rules/escal212.feature,Compute low-volume recovery payment,CAL-023,CLM104C08-REV10640,Low-Volume ESRD Facilities Adjustment,P11:L411-419,2021-01-01,,TC-AUTO-0055,,policy-mapped,
ESCAL212,,,187000,204900,gherkin_rules/escal212.feature,Assign return code based on adjustment combinations,CAL-022,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0056,,internal,
ESCAL212,,,213200,215800,gherkin_rules/escal212.feature,Apply QIP reduction to payment amounts,CAL-018,CLM104C08-REV10640,§20.3 QIP Reduction Codes,P17:L619-624,2021-01-01,,TC-EX-011,,policy-mapped,
ESCAL202,,,072100,072100,gherkin_rules/escal202.feature,Force waive-blend indicator to Y,CAL202-001O,Internal/No policy citation found,,,2020-07-01,,TC-AUTO-0057,,internal,
ESCAL202,,,073600,074400,gherkin_rules/escal202.feature,AKI claims bypass bundled factor calculations,CAL202-001P,CLM104C08-REV12979,"§40 AKI Claims (no ESRD adjusters, no outlier, no TDAPA/TPNIES)",P17:L634-658,2020-07-01,,TC-AUTO-0058,,policy-mapped,
ESCAL202,,,075500,075900,gherkin_rules/escal202.feature,Reject claims with invalid condition codes,CAL202-000,CLM104C08-REV10640,§50.3 Condition Code Structure (73/74/84/87),P21:L762-774; P22:L788-791,2020-07-01,,TC-AUTO-0059,,policy-mapped,
ESCAL202,,,076200,076700,gherkin_rules/escal202.feature,Reject claims with invalid provider type,CAL202-001A,Internal/No policy citation found,,,2020-07-01,,TC-AUTO-0060,,internal,
ESCAL202,,,077000,077300,gherkin_rules/escal202.feature,Reject claims with invalid special payment indicator,CAL202-001B,Internal/No policy citation found,,,2020-07-01,,TC-AUTO-0061,,internal,
ESCAL202,,,077600,078000,gherkin_rules/escal202.feature,Reject claims with invalid date of birth,CAL202-001N,Internal/No policy citation found,,,2020-07-01,,TC-AUTO-0062,,internal,
ESCAL202,,,078200,078700,gherkin_rules/escal202.feature,Reject non-AKI claims with invalid weight,CAL202-001E,CLM104C08-REV12979,"§40 AKI Claims (no ESRD adjusters, no outlier, no TDAPA/TPNIES)",P17:L634-658,2020-07-01,,TC-AUTO-0063,,policy-mapped,
ESCAL202,,,079000,079600,gherkin_rules/escal202.feature,Reject non-AKI claims with invalid height,CAL202-001F,CLM104C08-REV12979,"§40 AKI Claims (no ESRD adjusters, no outlier, no TDAPA/TPNIES)",P17:L634-658,2020-07-01,,TC-AUTO-0064,,policy-mapped,
ESCAL202,,,079800,080400,gherkin_rules/escal202.feature,Reject claims with invalid revenue code,CAL202-001C,CLM104C08-REV10640,§50.3 Condition Code Structure (73/74/84/87),P21:L762-774; P22:L788-791,2020-07-01,,TC-AUTO-0065,,policy-mapped,
ESCAL202,,,080700,081400,gherkin_rules/escal202.feature,Reject claims with invalid QIP reduction code,CAL202-001D,CLM104C08-REV10640,§20.3 QIP Reduction Codes,P17:L619-624,2020-07-01,,TC-AUTO-0066,,policy-mapped,
ESCAL202,,,081700,082300,gherkin_rules/escal202.feature,Reject non-AKI claims with height over 300,CAL202-001G,CLM104C08-REV12979,"§40 AKI Claims (no ESRD adjusters, no outlier, no TDAPA/TPNIES)",P17:L634-658,2020-07-01,,TC-AUTO-0067,,policy-mapped,
ESCAL202,,,082500,083100,gherkin_rules/escal202.feature,Reject non-AKI claims with weight over 500,CAL202-001H,CLM104C08-REV12979,"§40 AKI Claims (no ESRD adjusters, no outlier, no TDAPA/TPNIES)",P17:L634-658,2020-07-01,,TC-AUTO-0068,,policy-mapped,
ESCAL202,,,083800,084300,gherkin_rules/escal202.feature,Reject claims with invalid dialysis session count,CAL202-001I,Internal/No policy citation found,,,2020-07-01,,TC-AUTO-0069,,internal,
ESCAL202,,,084500,085000,gherkin_rules/escal202.feature,Reject claims with invalid line item date of service,CAL202-001J,Internal/No policy citation found,,,2020-07-01,,TC-AUTO-0070,,internal,
ESCAL202,,,085200,085600,gherkin_rules/escal202.feature,Reject claims with invalid dialysis start date,CAL202-001K,Internal/No policy citation found,,,2020-07-01,,TC-AUTO-0071,,internal,
ESCAL202,,,085800,086200,gherkin_rules/escal202.feature,Reject claims with invalid outlier total charges,CAL202-001L,BP102C11-REV257,§60.D Outlier Payment Calculation,P47:L1885-1893,2020-07-01,,TC-AUTO-0072,,policy-mapped,
ESCAL202,,,087500,088400,gherkin_rules/escal202.feature,Reject non-AKI claims with invalid comorbid return code,CAL202-001M,CLM104C08-REV12979,"§40 AKI Claims (no ESRD adjusters, no outlier, no TDAPA/TPNIES)",P17:L634-658,2020-07-01,,TC-AUTO-0073,,policy-mapped,
ESCAL202,,,089600,090400,gherkin_rules/escal202.feature,Compute bundled base wage amount,CAL202-002,Internal/No policy citation found,,,2020-07-01,,TC-AUTO-0074,,internal,
ESCAL202,,,090800,091400,gherkin_rules/escal202.feature,Compute patient age for factor selection,CAL202-008,Internal/No policy citation found,,,2020-07-01,,TC-AUTO-0075,,internal,
ESCAL202,,,091800,093900,gherkin_rules/escal202.feature,Map QIP reduction codes to reduction factors,CAL202-007,CLM104C08-REV10640,§20.3 QIP Reduction Codes,P17:L619-624,2020-07-01,,TC-AUTO-0076,,policy-mapped,
ESCAL202,,,095300,103100,gherkin_rules/escal202.feature,Normalize comorbid data for consistent evaluation,CAL202-010,BP102C11-REV257,§60.A.2 Comorbidity Adjustments (single highest),P39:L1570-1573,2020-07-01,,TC-AUTO-0077,,policy-mapped,
ESCAL202,,,103500,105000,gherkin_rules/escal202.feature,Apply pediatric age adjustment factors,CAL202-003A,CLM104C08-REV10640,§20.2 Pediatric Payment Model (under 18),P16:L602-606,2020-07-01,,TC-AUTO-0078,,policy-mapped,
ESCAL202,,,105100,107100,gherkin_rules/escal202.feature,Apply adult age adjustment factors,CAL202-003B,BP102C11-REV257,§60.A.1 Adult Age Bands,P36:L1467-1472,2020-07-01,,TC-AUTO-0079,,policy-mapped,
ESCAL202,,,107600,108500,gherkin_rules/escal202.feature,Compute BSA adjustment factor,CAL202-004,BP102C11-REV257,§60.A.1 BSA formula,P36:L1443-1445,2020-07-01,,TC-AUTO-0080,,policy-mapped,
ESCAL202,,,108300,108500,gherkin_rules/escal202.feature,Default pediatric BSA factor to 1.000,CAL202-004B,BP102C11-REV257,§60.A.1 BSA formula,P36:L1443-1445,2020-07-01,,TC-AUTO-0081,,policy-mapped,
ESCAL202,,,109000,109800,gherkin_rules/escal202.feature,Compute BMI adjustment factor,CAL202-005,BP102C11-REV257,§60.A.1 BMI formula (low BMI < 18.5),P38:L1503-1507,2020-07-01,,TC-AUTO-0082,,policy-mapped,
ESCAL202,,,109600,109800,gherkin_rules/escal202.feature,Default BMI factor to 1.000 when low BMI criteria are not met,CAL202-005B,BP102C11-REV257,§60.A.1 BMI formula (low BMI < 18.5),P38:L1503-1507,2020-07-01,,TC-AUTO-0083,,policy-mapped,
ESCAL202,,,110300,112600,gherkin_rules/escal202.feature,Apply onset adjustment factor,CAL202-009,BP102C11-REV257,§60.A.1 Onset of Dialysis (≤120 days),P38:L1516-1537,2020-07-01,,TC-AUTO-0084,,policy-mapped,
ESCAL202,,,113100,117100,gherkin_rules/escal202.feature,Select bundled comorbid multiplier,CAL202-011,BP102C11-REV257,§60.A.2 Comorbidity Adjustments (single highest),P39:L1570-1573,2020-07-01,,TC-AUTO-0085,,policy-mapped,
ESCAL202,,,117600,118800,gherkin_rules/escal202.feature,Apply low volume multiplier for adults,CAL202-012,CLM104C08-REV10640,Low-Volume ESRD Facilities Adjustment,P11:L411-419,2020-07-01,,TC-AUTO-0086,,policy-mapped,
ESCAL202,,,119300,119600,gherkin_rules/escal202.feature,Apply rural adjustment multiplier,CAL202-013,CMS-ESRDPAYMENT,Facility-Level Adjustments include rural adjustment,HTML:L793-795,2020-07-01,,TC-AUTO-0087,,policy-mapped,
ESCAL202,,,120100,120500,gherkin_rules/escal202.feature,Compute adjusted base wage amount,CAL202-014,Internal/No policy citation found,,,2020-07-01,,TC-AUTO-0088,,internal,
ESCAL202,,,121100,124100,gherkin_rules/escal202.feature,Apply training add-on or per-diem logic,CAL202-015,CLM104C08-REV12979,§50.8 Training Add-On Payment,P32:L1112-1121,2020-07-01,,TC-AUTO-0089,,policy-mapped,
ESCAL202,,,124600,126600,gherkin_rules/escal202.feature,Compute final bundled payment,CAL202-016,Internal/No policy citation found,,,2020-07-01,,TC-AUTO-0090,,internal,
ESCAL202,,,127100,127800,gherkin_rules/escal202.feature,Apply TDAPA add-on,CAL202-017,CMS-ESRD-OUTLIER,TDAPA/TPNIES not outlier services until period ends,HTML:L969-973,2020-07-01,,TC-AUTO-0091,,policy-mapped,
ESCAL202,,,128000,128300,gherkin_rules/escal202.feature,Select HDPA payment path for ETC claims,CAL202-020,CFR-42-512-340,"§512.340 Facility HDPA applicability (072X, CC 74/76)",HTML:L601-606,2020-07-01,,TC-AUTO-0092,,policy-mapped,
ESCAL202,,,138600,161300,gherkin_rules/escal202.feature,Calculate outlier payment,CAL202-021,BP102C11-REV257,§60.D Outlier Payment Calculation,P47:L1885-1893,2020-07-01,,TC-AUTO-0093,,policy-mapped,
ESCAL202,,,129400,131300,gherkin_rules/escal202.feature,Compute low-volume recovery payment,CAL202-023,CLM104C08-REV10640,Low-Volume ESRD Facilities Adjustment,P11:L411-419,2020-07-01,,TC-AUTO-0094,,policy-mapped,
ESCAL202,,,180400,198300,gherkin_rules/escal202.feature,Assign return code based on adjustment combinations,CAL202-022,Internal/No policy citation found,,,2020-07-01,,TC-AUTO-0095,,internal,
ESCAL202,,,205700,208600,gherkin_rules/escal202.feature,Apply QIP reduction to payment amounts,CAL202-018,CLM104C08-REV10640,§20.3 QIP Reduction Codes,P17:L619-624,2020-07-01,,TC-AUTO-0096,,policy-mapped,
ESCAL200,,,00204,00204,gherkin_rules/escal200.feature,Force waive-blend indicator to Y,CAL200-001O,Internal/No policy citation found,,,2020-01-01,,TC-AUTO-0097,,internal,
ESCAL200,,,00711,00721,gherkin_rules/escal200.feature,AKI claims bypass bundled factor calculations,CAL200-001P,CLM104C08-REV12979,"§40 AKI Claims (no ESRD adjusters, no outlier, no TDAPA/TPNIES)",P17:L634-658,2020-01-01,,TC-AUTO-0098,,policy-mapped,
ESCAL200,,,00729,00732,gherkin_rules/escal200.feature,Reject claims with invalid condition codes,CAL200-000,CLM104C08-REV10640,§50.3 Condition Code Structure (73/74/84/87),P21:L762-774; P22:L788-791,2020-01-01,,TC-AUTO-0099,,policy-mapped,
ESCAL200,,,00736,00740,gherkin_rules/escal200.feature,Reject claims with invalid provider type,CAL200-001A,Internal/No policy citation found,,,2020-01-01,,TC-AUTO-0100,,internal,
ESCAL200,,,00744,00746,gherkin_rules/escal200.feature,Reject claims with invalid special payment indicator,CAL200-001B,Internal/No policy citation found,,,2020-01-01,,TC-AUTO-0101,,internal,
ESCAL200,,,00750,00752,gherkin_rules/escal200.feature,Reject claims with invalid date of birth,CAL200-001N,Internal/No policy citation found,,,2020-01-01,,TC-AUTO-0102,,internal,
ESCAL200,,,00757,00759,gherkin_rules/escal200.feature,Reject non-AKI claims with invalid weight,CAL200-001E,CLM104C08-REV12979,"§40 AKI Claims (no ESRD adjusters, no outlier, no TDAPA/TPNIES)",P17:L634-658,2020-01-01,,TC-AUTO-0103,,policy-mapped,
ESCAL200,,,00765,00767,gherkin_rules/escal200.feature,Reject non-AKI claims with invalid height,CAL200-001F,CLM104C08-REV12979,"§40 AKI Claims (no ESRD adjusters, no outlier, no TDAPA/TPNIES)",P17:L634-658,2020-01-01,,TC-AUTO-0104,,policy-mapped,
ESCAL200,,,00772,00777,gherkin_rules/escal200.feature,Reject claims with invalid revenue code,CAL200-001C,CLM104C08-REV10640,§50.3 Condition Code Structure (73/74/84/87),P21:L762-774; P22:L788-791,2020-01-01,,TC-AUTO-0105,,policy-mapped,
ESCAL200,,,00781,00787,gherkin_rules/escal200.feature,Reject claims with invalid QIP reduction code,CAL200-001D,CLM104C08-REV10640,§20.3 QIP Reduction Codes,P17:L619-624,2020-01-01,,TC-AUTO-0106,,policy-mapped,
ESCAL200,,,00792,00794,gherkin_rules/escal200.feature,Reject non-AKI claims with height over 300,CAL200-001G,CLM104C08-REV12979,"§40 AKI Claims (no ESRD adjusters, no outlier, no TDAPA/TPNIES)",P17:L634-658,2020-01-01,,TC-AUTO-0107,,policy-mapped,
ESCAL200,,,00800,00802,gherkin_rules/escal200.feature,Reject non-AKI claims with weight over 500,CAL200-001H,CLM104C08-REV12979,"§40 AKI Claims (no ESRD adjusters, no outlier, no TDAPA/TPNIES)",P17:L634-658,2020-01-01,,TC-AUTO-0108,,policy-mapped,
ESCAL200,,,00812,00815,gherkin_rules/escal200.feature,Reject claims with invalid dialysis session count,CAL200-001I,Internal/No policy citation found,,,2020-01-01,,TC-AUTO-0109,,internal,
