test_case_id,rule_id,description,input_fields,expected_outcome,source
TC-AUTO-0005,DRV-005,Auto baseline for DRV-005: Route CY2021 claims to ESCAL212,Given the claim thru date is between 2021-01-01 and 2021-12-31 | When the claim is routed by service date | Example: thru_date=2021-01-31; claim_date=2021-01-15,Then the calculation module ESCAL212 is called,Synthetic (auto-derived)
TC-AUTO-0006,DRV-006,Auto baseline for DRV-006: Route CY2020 H2 claims to ESCAL202,Given the claim thru date is between 2020-07-01 and 2020-12-31 | When the claim is routed by service date | Example: thru_date=2021-01-31; claim_date=2021-01-15,Then the calculation module ESCAL202 is called,Synthetic (auto-derived)
TC-AUTO-0007,DRV-007,Auto baseline for DRV-007: Route CY2020 H1 claims to ESCAL200,Given the claim thru date is between 2020-01-01 and 2020-06-30 | When the claim is routed by service date | Example: thru_date=2021-01-31; claim_date=2021-01-15,Then the calculation module ESCAL200 is called,Synthetic (auto-derived)
TC-AUTO-0008,DRV-008,Auto baseline for DRV-008: Route CY2019 claims to ESCAL191,Given the claim thru date is between 2019-01-01 and 2019-12-31 | When the claim is routed by service date | Example: thru_date=2021-01-31; claim_date=2021-01-15,Then the calculation module ESCAL191 is called,Synthetic (auto-derived)
TC-AUTO-0009,DRV-009,Auto baseline for DRV-009: Route CY2018 claims to ESCAL180,Given the claim thru date is between 2018-01-01 and 2018-12-31 | When the claim is routed by service date | Example: thru_date=2021-01-31; claim_date=2021-01-15,Then the calculation module ESCAL180 is called,Synthetic (auto-derived)
TC-AUTO-0010,DRV-010,Auto baseline for DRV-010: Route CY2017 H2 claims to ESCAL171,Given the claim thru date is between 2017-07-01 and 2017-12-31 | When the claim is routed by service date | Example: thru_date=2021-01-31; claim_date=2021-01-15,Then the calculation module ESCAL171 is called,Synthetic (auto-derived)
TC-AUTO-0011,DRV-011,Auto baseline for DRV-011: Route CY2017 H1 claims to ESCAL170,Given the claim thru date is between 2017-01-01 and 2017-06-30 | When the claim is routed by service date | Example: thru_date=2021-01-31; claim_date=2021-01-15,Then the calculation module ESCAL170 is called,Synthetic (auto-derived)
TC-AUTO-0012,DRV-012,Auto baseline for DRV-012: Route CY2016 claims to ESCAL160,Given the claim thru date is between 2016-01-01 and 2016-12-31 | When the claim is routed by service date | Example: thru_date=2021-01-31; claim_date=2021-01-15,Then the calculation module ESCAL160 is called,Synthetic (auto-derived)
TC-AUTO-0013,DRV-013,Auto baseline for DRV-013: Route CY2015 claims to ESCAL151,Given the claim thru date is between 2015-01-01 and 2015-12-31 | When the claim is routed by service date | Example: thru_date=2021-01-31; claim_date=2021-01-15,Then the calculation module ESCAL151 is called,Synthetic (auto-derived)
TC-AUTO-0014,DRV-014,Auto baseline for DRV-014: Route CY2014 claims to ESCAL140,Given the claim thru date is between 2014-01-01 and 2014-12-31 | When the claim is routed by service date | Example: thru_date=2021-01-31; claim_date=2021-01-15,Then the calculation module ESCAL140 is called,Synthetic (auto-derived)
TC-AUTO-0015,DRV-015,Auto baseline for DRV-015: Route CY2013 claims to ESCAL130,Given the claim thru date is between 2013-01-01 and 2013-12-31 | When the claim is routed by service date | Example: thru_date=2021-01-31; claim_date=2021-01-15,Then the calculation module ESCAL130 is called,Synthetic (auto-derived)
TC-AUTO-0016,DRV-016,Auto baseline for DRV-016: Route CY2012 claims to ESCAL122,Given the claim thru date is between 2012-01-01 and 2012-12-31 | When the claim is routed by service date | Example: thru_date=2021-01-31; claim_date=2021-01-15,Then the calculation module ESCAL122 is called,Synthetic (auto-derived)
TC-AUTO-0017,DRV-017,Auto baseline for DRV-017: Route CY2011 claims to ESCAL117,Given the claim thru date is between 2011-01-01 and 2011-12-31 | When the claim is routed by service date | Example: thru_date=2021-01-31; claim_date=2021-01-15,Then the calculation module ESCAL117 is called,Synthetic (auto-derived)
TC-AUTO-0018,DRV-018,Auto baseline for DRV-018: Route CY2010 claims to ESCAL100,Given the claim thru date is between 2010-01-01 and 2010-12-31 | When the claim is routed by service date | Example: thru_date=2021-01-31; claim_date=2021-01-15,Then the calculation module ESCAL100 is called,Synthetic (auto-derived)
TC-AUTO-0019,DRV-019,Auto baseline for DRV-019: Route CY2009 claims to ESCAL091,Given the claim thru date is between 2009-01-01 and 2009-12-31 | When the claim is routed by service date | Example: thru_date=2021-01-31; claim_date=2021-01-15,Then the calculation module ESCAL091 is called,Synthetic (auto-derived)
TC-AUTO-0020,DRV-020,Auto baseline for DRV-020: Route CY2008 claims to ESCAL080,Given the claim thru date is between 2008-01-01 and 2008-12-31 | When the claim is routed by service date | Example: thru_date=2021-01-31; claim_date=2021-01-15,Then the calculation module ESCAL080 is called,Synthetic (auto-derived)
TC-AUTO-0021,DRV-021,Auto baseline for DRV-021: Route CY2007 H2 claims to ESCAL071,Given the claim thru date is between 2007-04-01 and 2007-12-31 | When the claim is routed by service date | Example: thru_date=2021-01-31; claim_date=2021-01-15,Then the calculation module ESCAL071 is called,Synthetic (auto-derived)
TC-AUTO-0022,DRV-022,Auto baseline for DRV-022: Route CY2007 H1 claims to ESCAL070,Given the claim thru date is between 2007-01-01 and 2007-03-31 | When the claim is routed by service date | Example: thru_date=2021-01-31; claim_date=2021-01-15,Then the calculation module ESCAL070 is called,Synthetic (auto-derived)
TC-AUTO-0023,DRV-023,Auto baseline for DRV-023: Route CY2006 claims to ESCAL062,Given the claim thru date is between 2006-01-01 and 2006-12-31 | When the claim is routed by service date | Example: thru_date=2021-01-31; claim_date=2021-01-15,Then the calculation module ESCAL062 is called,Synthetic (auto-derived)
TC-AUTO-0024,DRV-024,Auto baseline for DRV-024: Route CY2005 claims to ESCAL056,Given the claim thru date is between 2005-04-01 and 2005-12-31 | When the claim is routed by service date | Example: thru_date=2021-01-31; claim_date=2021-01-15,Then the calculation module ESCAL056 is called,Synthetic (auto-derived)
TC-AUTO-0025,CAL-001O,Auto baseline for CAL-001O: Force waive-blend indicator to Y,Given a claim is loaded for pricing | When pricing begins,"Then the waive-blend indicator is set to ""Y"" And full PPS processing is enforced",Synthetic (auto-derived)
TC-AUTO-0026,CAL-000,Auto baseline for CAL-000: Reject claims with invalid condition codes,"Given the claim condition code is not 73, 74, 84, 87, or blank | When bill elements are validated | Example: cond_code=84",Then the return code is 58,Synthetic (auto-derived)
TC-AUTO-0027,CAL-001A,Auto baseline for CAL-001A: Reject claims with invalid provider type,"Given the provider type is not 40, 41, or 05 | When bill elements are validated | Example: prov_type=99",Then the return code is 52,Synthetic (auto-derived)
TC-AUTO-0028,CAL-001B,Auto baseline for CAL-001B: Reject claims with invalid special payment indicator,"Given the special payment indicator is not ""1"" or blank | When bill elements are validated | Example: spec_payment_ind=9",Then the return code is 53,Synthetic (auto-derived)
TC-AUTO-0029,CAL-001N,Auto baseline for CAL-001N: Reject claims with invalid date of birth,Given the date of birth is missing or non-numeric | When bill elements are validated,Then the return code is 54,Synthetic (auto-derived)
TC-AUTO-0030,CAL-001E,Auto baseline for CAL-001E: Reject non-AKI claims with invalid weight,Given the claim is not AKI and weight is zero or non-numeric | When bill elements are validated | Example: cond_code=84; weight_kg=0,Then the return code is 55,Synthetic (auto-derived)
TC-AUTO-0031,CAL-001F,Auto baseline for CAL-001F: Reject non-AKI claims with invalid height,Given the claim is not AKI and height is zero or non-numeric | When bill elements are validated | Example: cond_code=84; height_cm=0,Then the return code is 56,Synthetic (auto-derived)
TC-AUTO-0032,CAL-001C,Auto baseline for CAL-001C: Reject claims with invalid revenue code,"Given the revenue code is not 0821, 0831, 0841, 0851, or 0881 | When bill elements are validated | Example: rev_code=0841",Then the return code is 57,Synthetic (auto-derived)
TC-AUTO-0033,CAL-001D,Auto baseline for CAL-001D: Reject claims with invalid QIP reduction code,"Given the QIP reduction code is not 1, 2, 3, 4, or blank | When bill elements are validated | Example: qip_code=9",Then the return code is 53,Synthetic (auto-derived)
TC-AUTO-0034,CAL-001G,Auto baseline for CAL-001G: Reject non-AKI claims with height over 300,Given the claim is not AKI and height exceeds 300 | When bill elements are validated | Example: cond_code=84; height_cm=301,Then the return code is 71,Synthetic (auto-derived)
TC-AUTO-0035,CAL-001H,Auto baseline for CAL-001H: Reject non-AKI claims with weight over 500,Given the claim is not AKI and weight exceeds 500 | When bill elements are validated | Example: cond_code=84; weight_kg=510,Then the return code is 72,Synthetic (auto-derived)
TC-AUTO-0036,CAL-001I,Auto baseline for CAL-001I: Reject claims with invalid dialysis session count,Given the dialysis session count is zero or non-numeric | When bill elements are validated | Example: session_count=13,Then the return code is 73,Synthetic (auto-derived)
TC-AUTO-0037,CAL-001J,Auto baseline for CAL-001J: Reject claims with invalid line item date of service,Given the line item date of service is zero or non-numeric | When bill elements are validated | Example: line_item_date=2021-01-15,Then the return code is 74,Synthetic (auto-derived)
TC-AUTO-0038,CAL-001K,Auto baseline for CAL-001K: Reject claims with invalid dialysis start date,Given the dialysis start date is non-numeric | When bill elements are validated,Then the return code is 75,Synthetic (auto-derived)
TC-AUTO-0039,CAL-001L,Auto baseline for CAL-001L: Reject claims with invalid outlier total charges,Given the outlier total charges are non-numeric | When bill elements are validated | Example: outlier_total=2000.00; imputed_map=50.00; predicted_map=30.00,Then the return code is 76,Synthetic (auto-derived)
TC-AUTO-0040,CAL-001M,Auto baseline for CAL-001M: Reject non-AKI claims with invalid comorbid return code,"Given the claim is not AKI and the comorbid return code is not blank, 10, 20, 40, 50, or 60 | When bill elements are validated | Example: cond_code=84",Then the return code is 81,Synthetic (auto-derived)
TC-AUTO-0041,CAL-010,Auto baseline for CAL-010: Normalize comorbid data for consistent evaluation,Given a claim includes a CWF comorbid return code | When comorbidity codes are interpreted for evaluation,Then the comorbidity category used for payment is derived from the return code,Synthetic (auto-derived)
TC-AUTO-0042,CAL-003A,Auto baseline for CAL-003A: Apply pediatric age adjustment factors,Given the patient age is under 18 | When age adjustment factors are selected | Example: dob=2010-01-01; thru_date=2021-01-31,Then the pediatric factor is selected based on age band and modality,Synthetic (auto-derived)
TC-AUTO-0043,CAL-003B,Auto baseline for CAL-003B: Apply adult age adjustment factors,Given the patient age is 18 or older | When age adjustment factors are selected | Example: dob=1970-01-01; thru_date=2021-01-31,Then the adult factor is selected based on age band,Synthetic (auto-derived)
TC-AUTO-0044,CAL-004,Auto baseline for CAL-004: Compute BSA adjustment factor,Given patient height and weight are available | When BSA is calculated | Example: height_cm=170; weight_kg=70; dob=2010-01-01; thru_date=2021-01-31,Then adult BSA factor is computed from the BSA formula And pediatric BSA factor defaults to 1.000,Synthetic (auto-derived)
TC-AUTO-0045,CAL-004B,Auto baseline for CAL-004B: Default pediatric BSA factor to 1.000,Given the patient age is under 18 | When the BSA factor is applied | Example: height_cm=170; weight_kg=70; dob=2010-01-01; thru_date=2021-01-31,Then the BSA factor is 1.000 And no additional BSA adjustment is applied,Synthetic (auto-derived)
TC-AUTO-0046,CAL-005B,Auto baseline for CAL-005B: Default BMI factor to 1.000 when low BMI criteria are not met,Given the patient does not meet low BMI criteria | When the BMI factor is applied | Example: height_cm=170; weight_kg=50,Then the BMI factor is 1.000 And no low BMI adjustment is applied,Synthetic (auto-derived)
TC-AUTO-0047,CAL-012,Auto baseline for CAL-012: Apply low volume multiplier for adults,Given provider low volume indicator is Y | When low-volume eligibility is evaluated | Example: dob=2010-01-01; thru_date=2021-01-31; low_volume_ind=Y,Then adult claims receive the low volume multiplier And pediatric claims default to 1.000,Synthetic (auto-derived)
TC-AUTO-0048,CAL-013,Auto baseline for CAL-013: Apply rural adjustment multiplier,Given the facility CBSA code is below 100 | When rural eligibility is evaluated | Example: height_cm=170; weight_kg=70; cbsa=01; cbsa=10180; wage_index=1.0500,Then adult claims receive the rural multiplier And others receive a multiplier of 1.000,Synthetic (auto-derived)
TC-AUTO-0049,CAL-014,Auto baseline for CAL-014: Compute adjusted base wage amount,Given all bundled case-mix factors are available | When the base payment is adjusted | Example: dob=1970-01-01; thru_date=2021-01-31,Then the base wage amount is multiplied by the case-mix factors,Synthetic (auto-derived)
TC-AUTO-0050,CAL-015,Auto baseline for CAL-015: Apply training add-on or per-diem logic,Given the claim includes condition and revenue codes | When training or per-diem eligibility is evaluated | Example: rev_code=0821,Then training add-on or per-diem amounts are computed as appropriate And non-eligible claims receive zero add-on,Synthetic (auto-derived)
TC-AUTO-0051,CAL-016,Auto baseline for CAL-016: Compute final bundled payment,Given the claim has adjusted base and any training or per-diem amounts | When the bundled payment is calculated,Then the correct final amount is computed for the claim type,Synthetic (auto-derived)
TC-AUTO-0052,CAL-017,Auto baseline for CAL-017: Apply TDAPA and TPNIES add-ons,Given the claim includes payer-only TDAPA or TPNIES values | When add-on payments are calculated | Example: tdapa_ind=Y; tpnies_ind=Y,Then TDAPA and TPNIES per-treatment add-ons are calculated And the add-ons are included in final amounts,Synthetic (auto-derived)
TC-AUTO-0053,CAL-020,Auto baseline for CAL-020: Select HDPA payment path for ETC claims,Given the claim includes the ETC HDPA data code | When HDPA eligibility is determined | Example: data_code=94,Then with-HDPA amounts are selected for data code 94 And non-HDPA amounts are selected otherwise,Synthetic (auto-derived)
TC-AUTO-0054,CAL-021,Auto baseline for CAL-021: Calculate outlier payment,Given the claim includes outlier charge data and required case-mix inputs | When outlier payment is calculated | Example: outlier_total=2000.00; imputed_map=50.00; predicted_map=30.00,Then the outlier payment is computed using predicted vs imputed MAP And per-diem adjustments are applied when applicable,Synthetic (auto-derived)
TC-AUTO-0055,CAL-023,Auto baseline for CAL-023: Compute low-volume recovery payment,Given the low-volume indicator is set for an adult claim | When low-volume recovery is calculated | Example: outlier_total=2000.00; imputed_map=50.00; predicted_map=30.00; low_volume_ind=Y,Then low-volume PPS and outlier payments are recalculated,Synthetic (auto-derived)
TC-AUTO-0056,CAL-022,Auto baseline for CAL-022: Assign return code based on adjustment combinations,When the return code is determined,Then the return code reflects the correct adjustment combination,Synthetic (auto-derived)
TC-AUTO-0057,CAL202-001O,Auto baseline for CAL202-001O: Force waive-blend indicator to Y,Given a claim is loaded for pricing | When pricing begins,"Then the waive-blend indicator is set to ""Y"" And full PPS processing is enforced",Synthetic (auto-derived)
TC-AUTO-0058,CAL202-001P,Auto baseline for CAL202-001P: AKI claims bypass bundled factor calculations,Given the claim condition code is 84 | When pricing continues after initialization | Example: cond_code=84; dob=1970-01-01; thru_date=2021-01-31,Then the final payment equals the bundled base wage amount And the return code is 02,Synthetic (auto-derived)
TC-AUTO-0059,CAL202-000,Auto baseline for CAL202-000: Reject claims with invalid condition codes,"Given the claim condition code is not 73, 74, 84, 87, or blank | When bill elements are validated | Example: cond_code=84",Then the return code is 58 And calculation is not executed,Synthetic (auto-derived)
TC-AUTO-0060,CAL202-001A,Auto baseline for CAL202-001A: Reject claims with invalid provider type,"Given the provider type is not 40, 41, or 05 | When bill elements are validated | Example: prov_type=99",Then the return code is 52 And calculation is not executed,Synthetic (auto-derived)
TC-AUTO-0061,CAL202-001B,Auto baseline for CAL202-001B: Reject claims with invalid special payment indicator,"Given the special payment indicator is not ""1"" or blank | When bill elements are validated | Example: spec_payment_ind=9",Then the return code is 53 And calculation is not executed,Synthetic (auto-derived)
TC-AUTO-0062,CAL202-001N,Auto baseline for CAL202-001N: Reject claims with invalid date of birth,Given the date of birth is missing or non-numeric | When bill elements are validated,Then the return code is 54 And calculation is not executed,Synthetic (auto-derived)
TC-AUTO-0063,CAL202-001E,Auto baseline for CAL202-001E: Reject non-AKI claims with invalid weight,Given the claim is not AKI and weight is zero or non-numeric | When bill elements are validated | Example: cond_code=84; weight_kg=0,Then the return code is 55 And calculation is not executed,Synthetic (auto-derived)
TC-AUTO-0064,CAL202-001F,Auto baseline for CAL202-001F: Reject non-AKI claims with invalid height,Given the claim is not AKI and height is zero or non-numeric | When bill elements are validated | Example: cond_code=84; height_cm=0,Then the return code is 56 And calculation is not executed,Synthetic (auto-derived)
TC-AUTO-0065,CAL202-001C,Auto baseline for CAL202-001C: Reject claims with invalid revenue code,"Given the revenue code is not 0821, 0831, 0841, 0851, or 0881 | When bill elements are validated | Example: rev_code=0841",Then the return code is 57 And calculation is not executed,Synthetic (auto-derived)
TC-AUTO-0066,CAL202-001D,Auto baseline for CAL202-001D: Reject claims with invalid QIP reduction code,"Given the QIP reduction code is not 1, 2, 3, 4, or blank | When bill elements are validated | Example: qip_code=9",Then the return code is 53 And calculation is not executed,Synthetic (auto-derived)
TC-AUTO-0067,CAL202-001G,Auto baseline for CAL202-001G: Reject non-AKI claims with height over 300,Given the claim is not AKI and height exceeds 300 | When bill elements are validated | Example: cond_code=84; height_cm=301,Then the return code is 71 And calculation is not executed,Synthetic (auto-derived)
TC-AUTO-0068,CAL202-001H,Auto baseline for CAL202-001H: Reject non-AKI claims with weight over 500,Given the claim is not AKI and weight exceeds 500 | When bill elements are validated | Example: cond_code=84; weight_kg=510,Then the return code is 72 And calculation is not executed,Synthetic (auto-derived)
TC-AUTO-0069,CAL202-001I,Auto baseline for CAL202-001I: Reject claims with invalid dialysis session count,Given the dialysis session count is zero or non-numeric | When bill elements are validated | Example: session_count=13,Then the return code is 73 And calculation is not executed,Synthetic (auto-derived)
TC-AUTO-0070,CAL202-001J,Auto baseline for CAL202-001J: Reject claims with invalid line item date of service,Given the line item date of service is zero or non-numeric | When bill elements are validated | Example: line_item_date=2021-01-15,Then the return code is 74 And calculation is not executed,Synthetic (auto-derived)
TC-AUTO-0071,CAL202-001K,Auto baseline for CAL202-001K: Reject claims with invalid dialysis start date,Given the dialysis start date is non-numeric | When bill elements are validated,Then the return code is 75 And calculation is not executed,Synthetic (auto-derived)
TC-AUTO-0072,CAL202-001L,Auto baseline for CAL202-001L: Reject claims with invalid outlier total charges,Given the outlier total charges are non-numeric | When bill elements are validated | Example: outlier_total=2000.00; imputed_map=50.00; predicted_map=30.00,Then the return code is 76 And calculation is not executed,Synthetic (auto-derived)
TC-AUTO-0073,CAL202-001M,Auto baseline for CAL202-001M: Reject non-AKI claims with invalid comorbid return code,"Given the claim is not AKI and the comorbid return code is not blank, 10, 20, 40, 50, or 60 | When bill elements are validated | Example: cond_code=84",Then the return code is 81 And calculation is not executed,Synthetic (auto-derived)
TC-AUTO-0074,CAL202-002,Auto baseline for CAL202-002: Compute bundled base wage amount,Given the claim has a bundled base payment rate and wage index | When base wage calculations begin | Example: dob=1970-01-01; thru_date=2021-01-31; cbsa=10180; wage_index=1.0500; base_rate=100.00; labor_share=0.523,Then the bundled base wage amount equals labor plus non-labor portions And the base wage amount is stored for downstream adjustments,Synthetic (auto-derived)
TC-AUTO-0075,CAL202-008,Auto baseline for CAL202-008: Compute patient age for factor selection,Given the claim includes DOB and thru date | When patient age is determined | Example: dob=2010-01-01; thru_date=2021-01-31,Then age is adjusted for birth month relative to service month And pediatric tracking is set when age is under 18,Synthetic (auto-derived)
TC-AUTO-0076,CAL202-007,Auto baseline for CAL202-007: Map QIP reduction codes to reduction factors,Given a claim includes a QIP reduction code | When the reduction factor is determined | Example: qip_code=2,Then the correct QIP reduction factor is selected And it is used later in QIP application,Synthetic (auto-derived)
TC-AUTO-0077,CAL202-010,Auto baseline for CAL202-010: Normalize comorbid data for consistent evaluation,Given a claim includes a CWF comorbid return code | When comorbidity codes are interpreted for evaluation,Then comorbid data is moved to holding and mapped to MA/MC/MD/ME as appropriate And the original values are preserved for later restoration,Synthetic (auto-derived)
TC-AUTO-0078,CAL202-003A,Auto baseline for CAL202-003A: Apply pediatric age adjustment factors,Given the patient age is under 18 | When age adjustment factors are selected | Example: dob=2010-01-01; thru_date=2021-01-31,Then the pediatric factor is selected based on age band and modality And the factor is stored for bundled calculations,Synthetic (auto-derived)
TC-AUTO-0079,CAL202-003B,Auto baseline for CAL202-003B: Apply adult age adjustment factors,Given the patient age is 18 or older | When age adjustment factors are selected | Example: dob=1970-01-01; thru_date=2021-01-31,Then the adult factor is selected based on age band And the factor is stored for bundled calculations,Synthetic (auto-derived)
TC-AUTO-0080,CAL202-004,Auto baseline for CAL202-004: Compute BSA adjustment factor,Given patient height and weight are available | When BSA is calculated | Example: height_cm=170; weight_kg=70; dob=2010-01-01; thru_date=2021-01-31,Then adult BSA factor is computed from the BSA formula And pediatric BSA factor defaults to 1.000,Synthetic (auto-derived)
TC-AUTO-0081,CAL202-004B,Auto baseline for CAL202-004B: Default pediatric BSA factor to 1.000,Given the patient age is under 18 | When the BSA factor is applied | Example: height_cm=170; weight_kg=70; dob=2010-01-01; thru_date=2021-01-31,Then the BSA factor is 1.000 And no additional BSA adjustment is applied,Synthetic (auto-derived)
TC-AUTO-0082,CAL202-005,Auto baseline for CAL202-005: Compute BMI adjustment factor,Given patient height and weight are available | When BMI is calculated | Example: height_cm=170; weight_kg=50,Then low BMI factor is applied for adults below 18.5 And otherwise BMI factor defaults to 1.000,Synthetic (auto-derived)
TC-AUTO-0083,CAL202-005B,Auto baseline for CAL202-005B: Default BMI factor to 1.000 when low BMI criteria are not met,Given the patient does not meet low BMI criteria | When the BMI factor is applied | Example: height_cm=170; weight_kg=50,Then the BMI factor is 1.000 And no low BMI adjustment is applied,Synthetic (auto-derived)
TC-AUTO-0084,CAL202-009,Auto baseline for CAL202-009: Apply onset adjustment factor,Given dialysis start date and service date are present | When dialysis onset days are calculated | Example: dialysis_start_date=2021-01-01; service_date=2021-04-30; claim_date=2021-01-15,Then adult claims within 120 days receive the onset factor And others receive a factor of 1.000,Synthetic (auto-derived)
TC-AUTO-0085,CAL202-011,Auto baseline for CAL202-011: Select bundled comorbid multiplier,Given comorbid data and CWF return codes are available | When the comorbidity adjustment is selected,Then the highest paying comorbid category is applied And comorbid tracking flags are updated,Synthetic (auto-derived)
TC-AUTO-0086,CAL202-012,Auto baseline for CAL202-012: Apply low volume multiplier for adults,Given provider low volume indicator is Y | When low-volume eligibility is evaluated | Example: dob=2010-01-01; thru_date=2021-01-31; low_volume_ind=Y,Then adult claims receive the low volume multiplier And pediatric claims default to 1.000,Synthetic (auto-derived)
TC-AUTO-0087,CAL202-013,Auto baseline for CAL202-013: Apply rural adjustment multiplier,Given the facility CBSA code is below 100 | When rural eligibility is evaluated | Example: height_cm=170; weight_kg=70; cbsa=01; cbsa=10180; wage_index=1.0500,Then adult claims receive the rural multiplier And others receive a multiplier of 1.000,Synthetic (auto-derived)
TC-AUTO-0088,CAL202-014,Auto baseline for CAL202-014: Compute adjusted base wage amount,Given all bundled case-mix factors are available | When the base payment is adjusted | Example: dob=1970-01-01; thru_date=2021-01-31,Then the base wage amount is multiplied by the case-mix factors And the adjusted base wage amount is stored,Synthetic (auto-derived)
TC-AUTO-0089,CAL202-015,Auto baseline for CAL202-015: Apply training add-on or per-diem logic,Given the claim includes condition and revenue codes | When training or per-diem eligibility is evaluated | Example: rev_code=0821,Then training add-on or per-diem amounts are computed as appropriate And non-eligible claims receive zero add-on,Synthetic (auto-derived)
TC-AUTO-0090,CAL202-016,Auto baseline for CAL202-016: Compute final bundled payment,Given the claim has adjusted base and any training or per-diem amounts | When the bundled payment is calculated | Example: data_code=94,Then the correct final amount is computed for the claim type And with-HDPA and without-HDPA amounts are stored,Synthetic (auto-derived)
TC-AUTO-0091,CAL202-017,Auto baseline for CAL202-017: Apply TDAPA add-on,Given the claim includes payer-only TDAPA values | When add-on payments are calculated | Example: tdapa_ind=Y,Then TDAPA per-treatment add-on is calculated And the add-on is included in final amounts,Synthetic (auto-derived)
TC-AUTO-0092,CAL202-020,Auto baseline for CAL202-020: Select HDPA payment path for ETC claims,Given the claim includes the ETC HDPA data code | When HDPA eligibility is determined | Example: data_code=94,Then with-HDPA amounts are selected for data code 94 And non-HDPA amounts are selected otherwise,Synthetic (auto-derived)
TC-AUTO-0093,CAL202-021,Auto baseline for CAL202-021: Calculate outlier payment,Given the claim includes outlier charge data and required case-mix inputs | When outlier payment is calculated | Example: outlier_total=2000.00; imputed_map=50.00; predicted_map=30.00,Then the outlier payment is computed using predicted vs imputed MAP And per-diem adjustments are applied when applicable,Synthetic (auto-derived)
TC-AUTO-0094,CAL202-023,Auto baseline for CAL202-023: Compute low-volume recovery payment,Given the low-volume indicator is set for an adult claim | When low-volume recovery is calculated | Example: outlier_total=2000.00; imputed_map=50.00; predicted_map=30.00; low_volume_ind=Y,Then low-volume PPS and outlier payments are recalculated And the recovery amount is stored,Synthetic (auto-derived)
TC-AUTO-0095,CAL202-022,Auto baseline for CAL202-022: Assign return code based on adjustment combinations,Given the claim has one or more adjustment tracking flags set | When the return code is determined,Then the return code reflects the correct adjustment combination And the return code is set for output,Synthetic (auto-derived)
